incd
Incidence Rate Report for Mississippi by County,,,,,,,,,,,,,
County,FIPS,2023 Rural-Urban Continuum Codes,Age-Adjusted Incidence Rate,Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank,Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
Scott County,28123,Urban,448.4,415.9,482.9,61,23,82,148,falling,-1.5,-3.5,-0.6
George County,28039,Rural,439.4,403.9,477.3,62,23,82,124,stable,1.1,-0.1,2.4
Amite County,28005,Rural,439.4,396,486.8,63,18,82,91,stable,-0.7,-1.7,0.2
Neshoba County,28099,Rural,439,407.4,472.5,64,29,82,151,stable,0.1,-0.6,0.8
Carroll County,28015,Rural,437,389.2,489.9,65,14,82,69,stable,0.6,-1.4,2.7
Adams County,28001,Rural,435.5,406.3,466.4,66,33,82,186,falling,-1.2,-3.4,-0.2
Winston County,28159,Rural,434.7,397.6,474.5,67,25,82,111,falling,-1.1,-4.1,-0.5
Bolivar County,28011,Rural,434.4,404.1,466.4,68,34,82,164,falling,-10.9,-16.5,-5.6
Lincoln County,28085,Rural,434.3,406.7,463.4,69,38,82,196,stable,-0.8,-2.0,0.5
Alcorn County,28003,Rural,433.7,406.6,462.4,70,37,82,201,falling,-4.8,-7.7,-3.0
Kemper County,28069,Rural,433.4,379.8,492.9,71,11,82,53,stable,-0.3,-1.5,0.8
Noxubee County,28103,Rural,432.9,381.4,489.6,72,10,82,56,stable,0.2,-1.4,1.9
Warren County,28149,Rural,432.2,407.5,458.2,73,43,82,247,stable,-0.6,-1.1,0.0
Leake County,28079,Rural,429.7,394.6,467.4,74,31,82,117,stable,-0.5,-1.5,0.5
Rankin County,28121,Urban,424.8,411.6,438.4,75,59,82,804,falling,-1.5,-3.1,-0.8
Lafayette County,28071,Rural,424.4,399.6,450.3,76,46,82,232,stable,-0.3,-1.3,0.9
Claiborne County,28021,Rural,423.2,366.3,486.6,77,13,82,45,stable,0.5,-0.9,1.9
Lauderdale County,28075,Rural,422.6,403.7,442.3,78,55,82,398,stable,-0.5,-1.2,0.3
Franklin County,28037,Rural,421.3,366.9,482.3,79,13,82,48,stable,-0.4,-1.9,1.1
Oktibbeha County,28105,Rural,420.9,393.7,449.4,80,47,82,190,stable,0.1,-0.9,1.2
Greene County,28041,Rural,416.5,373,464.1,81,25,82,69,stable,1.1,-0.6,3.0
Choctaw County,28019,Rural,412.4,360.9,470,82,23,82,51,rising,2.2,0.8,3.7
